Entrez	NES	pvalue
Foxm1	3.22321540566248	0.00126760190752281
Nr1d1	3.20483898141163	0.00135138056996192
Olig1	3.14619380937623	0.00165410355942818
Zdhhc13	2.9618036741638	0.00305842730070671
Elmsan1	2.88647600403919	0.00389582453473761
Rax	2.76068073102499	0.00576810334870353
Tcf20	2.75437318840443	0.00588046734467459
Hcfc1	2.71433562973979	0.00664088467801644
Snai1	2.6636264174343	0.00773033595570823
Zfp341	2.6446653600022	0.00817717414548886
Gsc2	2.52509497642511	0.0115667024584858
Zmynd10	2.48584505571515	0.0129244223921294
Nfyc	2.44934381588765	0.0143116763201814
Tal2	2.43969795093434	0.0146995467586328
Flywch1	2.40103292526655	0.0163488654020976
Foxo4	2.39867017914281	0.016454728406972
Gata4	2.35152786840994	0.0186964890330734
Foxb1	2.30165081308385	0.0213548721238347
Gtf2ird2	2.26534188602025	0.0234917075542962
Kmt2b	2.2588259364629	0.023894214498024
Srebf1	2.21559964237332	0.0267189333821562
Ppard	2.2106714618518	0.0270585961418971
Zhx2	2.19316210969198	0.028295701408102
Sox18	2.19028517639202	0.0285035612207372
Atf7	2.12725470884958	0.0333989256945651
Cebpd	2.10064717428097	0.0356719496937618
Nkrf	2.09737263472298	0.0359606015824331
Mef2b	2.08832947158308	0.0367681247104883
Hes6	2.07035587584856	0.0384190306376507
E2f8	2.06438020491691	0.0389816818228897
Bhlha15	2.05313119615484	0.0400598551221455
Brpf1	2.04962697967975	0.0404008455606099
Dlx3	2.02226772150763	0.0431487013753219
Vax2	2.01491401671606	0.0439136590807985
Zfp787	2.00429918694973	0.0450380209229185
Fubp3	1.99042660926457	0.0465439611041161
Lmx1b	1.98619403675044	0.0470117827515942
Maff	1.9828740145429	0.0473815039110027
Creb3l2	1.96920563525822	0.04892948204136
Mxd4	1.96655609920589	0.0492344088459439
Zmynd8	1.96272020615032	0.0496786939229126
Dmrtb1	1.96150534002295	0.049820102685525
Stat5b	1.93989807849953	0.0523920776599393
Pax6	1.91630980561017	0.055325673498672
Zfp598	1.91565693068321	0.0554087779391805
Tbx19	1.91492374638165	0.0555022289426203
Pax5	1.89500862687651	0.0580912587687993
Tead4	1.8949961683547	0.0580929092988436
Tfip11	1.88889756121224	0.0589055563322012
Sox4	1.88103370471764	0.059967334098562
Fos	1.87886701087846	0.0602626542944421
Neurog2	1.87420558034287	0.0609020952947526
Fosl1	1.85121361301082	0.064138828110245
Etv4	1.85044081951812	0.064250040286878
Id1	1.83686602584848	0.066229675837219
Zcchc3	1.81307192794594	0.0698207282145568
Glis2	1.80053753966816	0.0717758015955163
Lmx1a	1.78780391684046	0.0738076487343683
Rbpj	1.78443674040391	0.0743527254718003
Fiz1	1.78307474962195	0.0745741361513868
Sebox	1.78084874322723	0.074937164043178
Ets1	1.76791683153503	0.0770748085194694
Zfpl1	1.76602036594121	0.0773924321626743
Trafd1	1.76211614915972	0.0780496753210456
Stat1	1.75273014434796	0.0796483388493269
Zfp784	1.74093139211123	0.0816956052969867
Cbx2	1.74034082498247	0.0817991895122688
Pax2	1.738066359007	0.082199121732919
Sox15	1.72894587313565	0.083818782861597
Zfand2b	1.72345841242475	0.0848056595640133
Foxl2	1.71651089605221	0.0860685754211677
Rela	1.71205649329151	0.0868862580097371
Alx3	1.7037795185735	0.0884222857448847
Ebf4	1.69312440798706	0.090431789234624
Hes2	1.68375215073445	0.0922295780592302
Zfp82	1.67903387043602	0.093145442884164
Hoxa6	1.67765319024399	0.0934148225652378
Tbx22	1.67607799168845	0.0937229169992488
Maz	1.65508705487296	0.097906840370133
Kat7	1.6509456324874	0.0987496768359105
Arx	1.65011306356297	0.0989198133507643
Hoxa7	1.64995700168343	0.0989517308184723
Carhsp1	1.64712612831031	0.0995321236271138
Scrt1	1.63736200802123	0.101554851577338
Baz2a	1.63433934149252	0.102187617300252
Top2a	1.63037831559545	0.103021564756786
Irf5	1.62853723332448	0.103411020965761
Zfp467	1.62832757594481	0.103455445294994
Pbx4	1.62594942013865	0.103960415680323
Notch1	1.62326290358582	0.104533216027298
Pknox1	1.61505485321878	0.106298816577601
Rfx2	1.61023985806381	0.10734550310444
Zbtb17	1.60654653755102	0.10815387838779
Atf5	1.5971810559815	0.110225354219803
Tsc22d4	1.57789253186299	0.114590300977456
Olig3	1.57702952988272	0.11478873050801
Spi1	1.57159457218585	0.116044606068474
Zfp334	1.55912032284487	0.118967904411227
Prop1	1.55582665372416	0.119749318267468
Klf8	1.55552679926963	0.119820657100316
Tead2	1.53959974484278	0.12365794772164
Sp7	1.53945070134831	0.123694304398326
Klf2	1.53941367222719	0.123703338329143
Chd5	1.53045052976927	0.125905249716025
Zfp64	1.52798151881484	0.126517126597973
Zfp36	1.52711799823907	0.126731672193434
Tcf7	1.52155519575006	0.128120571197053
Nfkb1	1.51437070032192	0.129931846143932
Zfp768	1.51372958013363	0.130094439396072
Arid3a	1.50615275567562	0.13202796431235
Zfp219	1.49952336314844	0.133737912397832
Foxo1	1.49863990363892	0.133967074879114
Pou3f1	1.49781564692932	0.134181154385554
Nkx6-2	1.48715413589515	0.136974106221292
Zcchc14	1.48216074229555	0.138297529538207
Zfp786	1.48080853571941	0.138657601321102
Pbx3	1.48019580842286	0.138820998725157
Sox1	1.47688952181371	0.139705254138089
Mxd1	1.47409038104806	0.14045725804019
Capn15	1.47300088939829	0.140750795958893
Znfx1	1.46363307411376	0.143294230636879
Mapk8ip1	1.46209953195095	0.14371393699795
Mlxip	1.44987546071283	0.147093251521836
Sall2	1.44651895384021	0.14803169973849
Emx2	1.44229863093584	0.149218146251835
Spen	1.43206440759062	0.152125389432616
Gata2	1.42774905414325	0.153364101346927
Cxxc1	1.42686399678247	0.153619100233748
Zfp276	1.42248653791712	0.154885056842806
Mycs	1.42165812596576	0.155125521800868
Zfp180	1.41943726055844	0.155771575873578
Zfp296	1.41064109914469	0.158350466616292
Hand2	1.40641487856785	0.159600964707528
Zcchc8	1.39865218875859	0.161917308099317
Smad6	1.39799799975493	0.162113667849295
Heyl	1.39153663616055	0.164062758117319
Zfp592	1.38598266472133	0.165752196919499
Sim2	1.38324585196448	0.166589494807044
Tfap4	1.38243672779788	0.1668376454623
Zfp36l2	1.3823547564578	0.16686280078038
Rxrb	1.38154605837019	0.167111126398982
Trp73	1.37797340936782	0.168211498068909
Zfyve27	1.36918414677843	0.170941720241816
Junb	1.36487947390023	0.172290934620583
Bcl6	1.3616100594934	0.173320978879472
Hoxb5	1.35574219571942	0.175181208805359
Plagl2	1.35411194436399	0.175700666070192
Eomes	1.3466804576341	0.178083168864983
Notch3	1.32783392981244	0.184232975305993
Irx4	1.31901654014324	0.187163582912245
En1	1.31565203953078	0.188290858485298
Mafk	1.29633783958595	0.194859117435468
Sox10	1.27439575381536	0.202523196415843
Id3	1.2738117605663	0.202730136207025
Zfp516	1.272164518168	0.203314671529494
Zfp105	1.27095951539994	0.203743051612745
Myog	1.27010203766564	0.204048285904678
Nfya	1.2685703792184	0.204594334449567
Zbed4	1.26826716631178	0.204702558192616
Mitf	1.26683518734517	0.205214227414648
E2f5	1.26646468393604	0.205346765530017
Zfp212	1.26031728529137	0.207554926886339
Hoxb9	1.25878599498823	0.20810764024697
Mmp14	1.25774611898937	0.208483587440846
Hmga1	1.25656291683867	0.208911949884994
Zfp523	1.25390545042977	0.209876373718089
Onecut3	1.2534468209935	0.21004314099371
Rfx4	1.2522592782879	0.210475402090633
Gabpb2	1.2512019285975	0.21086081478209
Sox13	1.24570057582781	0.212874342178044
Foxp4	1.24039160600184	0.214830584216575
Csrnp2	1.23764396763841	0.215848103961476
Zfp28	1.23527237513383	0.216729151265306
Klf15	1.2329439490084	0.217596676953667
Six6	1.23163726788313	0.218084612988809
Hif3a	1.23113778186181	0.21827133681256
Gli2	1.23096483504169	0.218336016625011
Pbx1	1.23069074186282	0.218438552039283
Hoxd13	1.22738340055851	0.219678522372044
Litaf	1.2262172493574	0.220116931778116
Zmynd12	1.22107603514476	0.222057232402757
Ascl3	1.22068637676988	0.222204787785912
Zfp217	1.21746841704537	0.223426045865382
Rarg	1.21485029140883	0.224423195587743
Mycn	1.20840612023692	0.226891086811916
Klf4	1.2061626640613	0.22775477674689
Nfkb2	1.20542922788616	0.228037643883524
Tbx2	1.20527860849797	0.228095764803092
Hmx2	1.20519645878189	0.228127469133565
Dach1	1.19938105703371	0.230379809904907
Nkx6-1	1.19922265129588	0.230441381822387
Hoxb13	1.19636688611561	0.231553417703401
Trps1	1.19474282752632	0.232187523989405
Zbtb22	1.19307165409676	0.232841311739815
Hhex	1.1832793839382	0.236698440551725
Zfp524	1.18164932873043	0.237344871819015
Trim28	1.17978726338834	0.238084836462966
Lhx2	1.17978243256734	0.238086758295037
Mesp1	1.17538817157172	0.239839453564413
Ciz1	1.17424230322248	0.240297986104221
Cers2	1.17412863275518	0.240343506319343
Foxh1	1.17403614520277	0.240380548155704
Tbx4	1.16633351452319	0.243479627896361
Kdm5c	1.16240549032938	0.245070794176347
Zfp653	1.16182120330114	0.245308099426022
Mef2d	1.15926905518729	0.246346531178866
Tshz2	1.15801657902995	0.246857270782115
Nrl	1.15277589921294	0.249002379042073
Pcgf6	1.15087126109066	0.24978520251764
Zfp13	1.14865676353839	0.250697540840358
Rrn3	1.1446697173603	0.252346000336152
Bcl11a	1.14379410776801	0.25270903402731
Irx2	1.14361664124526	0.25278265718677
Pou4f2	1.14329206900785	0.252917346782534
Tgif1	1.14084042683812	0.253936333928323
Ascl2	1.14059362888888	0.254039069760949
Six3	1.13948940540124	0.254499084703603
Zfp628	1.13902958767098	0.25469081366631
Zfp324	1.1381895270721	0.255041350862746
Obox1	1.13706291304939	0.255511986371628
Ptf1a	1.13112579168651	0.2580021501045
Bcl6b	1.13005573749553	0.258452739049654
Pcgf2	1.12873665177933	0.259008942931753
Zfp438	1.12758985654765	0.259493172483303
Zc3h12d	1.12489564120398	0.260633259252888
Zfp112	1.12434830906233	0.260865291690984
Zscan12	1.12395118630896	0.261033734748794
Pml	1.12220643571733	0.26177467691179
Bhlhe23	1.12202555782543	0.261851573281374
Foxj1	1.11722711934634	0.263897227950201
Sohlh2	1.1158370042016	0.264491911018532
Ep300	1.11315504799529	0.265641844938472
Pttg1	1.1126807975106	0.265845545510013
Zfp30	1.10965840820033	0.267146251874831
Crebbp	1.10832957623742	0.26771950675729
Gata1	1.10741896499201	0.268112830099669
Tlx3	1.1012963871622	0.270767683067637
Elk1	1.10033838140035	0.271184715081659
Hoxc8	1.0985423028033	0.271967756156323
Zdhhc12	1.09851914957976	0.271977860423082
Evx2	1.09647124921823	0.272872598621828
Hopx	1.09163616273109	0.2749930544946
Nfat5	1.09133526744431	0.275125384710553
Zdhhc24	1.08044937922471	0.279942117023185
Hoxb4	1.07950674814689	0.280361887185438
Sox21	1.07792749733106	0.281066113092422
Onecut1	1.07482441350714	0.282453348028339
Zbtb14	1.07148061890841	0.283953380605526
Zdhhc14	1.06747749070023	0.285756272757494
