Entrez	GeneName	M1_12	M1_21	M1_2	M1_4	M2_12	M2_21	M2_2	M2_4	M3_12	M3_21	M3_2	M3_4	M4_12	M4_21	M4_2	M4_4	S1_12	S1_21	S1_2	S1_4	S2_12	S2_21	S2_2	S2_4	S3_12	S3_21	S3_2	S3_4	S4_12	S4_21	S4_2	S4_4
100009600	Zglp1	3110	4934	2744	4386	3312	2444	2857	2808	2952	3118	1486	3201	1522	3908	2808	3260	2750	2609	2548	2550	1727	3891	1915	3410	1442	2448	1672	2894	2467	3889	2630	2385
100009609	Vmn2r65	1	2	1	0	0	0	0	0	0	0	21	0	0	0	4	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1	2
100009614	Gm10024	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100012	Oog3	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
100017	Ldlrap1	135	234	212	265	137	231	204	151	71	435	126	97	152	242	77	168	100	202	61	85	42	317	41	111	83	113	35	198	39	175	60	52
100019	Mdn1	1614	5567	2019	2026	1944	1716	2064	1896	1440	2468	2094	1619	1243	2838	1308	1594	1390	1647	1137	1809	1398	2926	1704	1367	1948	1815	1032	1681	1415	2306	1039	1165
100033459	Pydc3	0	6	0	4	0	1	1	2	1	0	30	1	0	0	0	1	0	0	14	7	0	0	0	0	0	7	0	0	1	2	0	0
100034251	Wfdc17	22	37	12	15	2	6	0	2	18	32	0	0	2	4	4	3	0	10	0	5	7	21	0	1	0	0	0	6	0	1	8	0
100034361	Mfap1b	4010	5549	4453	3614	4590	2427	4400	3111	4523	3149	3429	3822	3577	3552	3588	3265	3314	2356	3055	3515	2720	2807	2864	3496	3032	2639	1979	2719	3777	2677	2532	2576
100034684	BC100530	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	71	0	0	3	0	0	18	0	0	2	1	2	3
100034726	Gm15772	9390	9017	8217	9531	8622	8281	8471	9076	8822	9637	8011	6963	3569	8315	9792	8632	7335	4991	6526	7340	5146	7982	5334	7255	4161	7743	4446	7088	6346	8049	6826	5977
100034729	Gm15114	1	27	22	5	0	2	0	6	11	3	154	0	0	0	20	1	25	0	49	35	12	0	1	0	12	20	0	8	4	4	1	0
100034739	Gm17762	360	473	292	312	380	424	291	384	256	262	301	453	229	415	271	354	345	318	294	304	268	408	273	290	95	344	294	290	199	295	342	206
100036518	Vmn1r223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100036521	Gm16039	3191	5183	3981	3772	3230	3836	4048	3658	3055	4179	3257	3320	1786	3769	3871	3941	3354	2606	3235	4037	2634	3195	2673	3646	2299	5185	2346	3188	3426	3761	3262	2907
100036537	Gm11149	3593	8743	4955	4507	4308	2596	5839	3468	4132	3005	3629	4504	4913	4263	4948	4083	3000	2500	2885	2943	3776	3569	2684	3404	3350	2154	3712	3267	3366	2466	2583	2586
100037258	Dnajc3	2159	4100	2890	2423	2242	1621	2996	2214	1830	2545	1839	2592	1781	2293	2359	1891	1871	1767	1615	1677	1651	2218	1587	2046	1422	1864	1244	2106	2078	2010	1875	1213
100037260	9430060I03Rik	2586	3212	2444	3173	2278	1780	2493	2578	2290	2050	1839	2793	1243	2788	2456	2664	2406	1955	2229	1818	1934	2685	2148	2651	1452	1828	1240	2271	2308	2837	2077	2014
100037262	Gm12359	18003	30263	19196	20469	20277	14748	21830	12568	21162	23329	13168	17075	14694	24082	15589	15788	12861	14796	13746	12882	11924	20130	13278	14728	12351	17200	7329	14443	14135	21056	13382	10368
100037278	Fam129c	57	107	124	141	50	6	48	55	41	52	47	25	26	141	13	15	6	97	43	5	69	29	59	31	17	12	15	55	6	25	22	50
100037282	Rsph3b	18544	13177	17619	15337	16704	12108	18822	20203	16219	13281	16130	14656	24988	13003	15913	18952	13153	12026	15116	18075	11832	18007	16844	16610	15079	14169	31331	13552	13470	15599	14052	13585
